0.0	3e-06	-55015.3833531
0.0	3.08e-06	-55015.3833531
0.0	3.16e-06	-55015.3833531
0.0	3.24e-06	-55015.3833531
0.0	3.32e-06	-55015.3833531
0.0	3.4e-06	-55015.3833531
0.0	3.48e-06	-55015.3833531
0.0	3.56e-06	-55015.3833531
0.0	3.64e-06	-55015.3833531
0.0	3.72e-06	-55015.3833531
0.0	3.8e-06	-55015.3833531
0.0	3.88e-06	-55015.3833531
0.0	3.96e-06	-55015.3833531
0.0	4.04e-06	-55015.3833531
0.0	4.12e-06	-55015.3833531
0.0	4.2e-06	-55015.3833531
0.0	4.28e-06	-55015.3833531
0.0	4.36e-06	-55015.3833531
0.0	4.44e-06	-55015.3833531
0.0	4.52e-06	-55015.3833531
0.0	4.6e-06	-55015.3833531
0.0	4.68e-06	-55015.3833531
0.0	4.76e-06	-55015.3833531
0.0	4.84e-06	-55015.3833531
0.0	4.92e-06	-55015.3833531
0.0	5e-06	-55015.3833531
0.0	5.08e-06	-55015.3833531
0.0	5.16e-06	-55015.3833531
0.0	5.24e-06	-55015.3833531
0.0	5.32e-06	-55015.3833531
0.0	5.4e-06	-55015.3833531
0.0	5.48e-06	-55015.3833531
0.0	5.56e-06	-55015.3833531
0.0	5.64e-06	-55015.3833531
0.0	5.72e-06	-55015.3833531
0.0	5.8e-06	-55015.3833531
0.0	5.88e-06	-55015.3833531
0.0	5.96e-06	-55015.3833531
0.0	6.04e-06	-55015.3833531
0.0	6.12e-06	-55015.3833531
0.0	6.2e-06	-55015.3833531
0.0	6.28e-06	-55015.3833531
0.0	6.36e-06	-55015.3833531
0.0	6.44e-06	-55015.3833531
0.0	6.52e-06	-55015.3833531
0.0	6.6e-06	-55015.3833531
0.0	6.68e-06	-55015.3833531
0.0	6.76e-06	-55015.3833531
0.0	6.84e-06	-55015.3833531
0.0	6.92e-06	-55015.3833531
0.06	3e-06	-53847.9468626
0.06	3.08e-06	-53827.7832913
0.06	3.16e-06	-53788.0034721
0.06	3.24e-06	-53751.1184303
0.06	3.32e-06	-53706.5232998
0.06	3.4e-06	-53670.0369729
0.06	3.48e-06	-53641.4856746
0.06	3.56e-06	-53580.4210479
0.06	3.64e-06	-53569.9159343
0.06	3.72e-06	-53538.0386432
0.06	3.8e-06	-53500.1174277
0.06	3.88e-06	-53463.6527459
0.06	3.96e-06	-53418.1118481
0.06	4.04e-06	-53398.9361085
0.06	4.12e-06	-53350.86997
0.06	4.2e-06	-53315.4198744
0.06	4.28e-06	-53263.2343771
0.06	4.36e-06	-53226.2043824
0.06	4.44e-06	-53184.3273202
0.06	4.52e-06	-53185.9886492
0.06	4.6e-06	-53116.5223277
0.06	4.68e-06	-53091.1018839
0.06	4.76e-06	-53035.6806476
0.06	4.84e-06	-53017.9929025
0.06	4.92e-06	-52975.4313532
0.06	5e-06	-52927.5065582
0.06	5.08e-06	-52911.9893553
0.06	5.16e-06	-52866.1726404
0.06	5.24e-06	-52799.510262
0.06	5.32e-06	-52776.3148853
0.06	5.4e-06	-52726.0159922
0.06	5.48e-06	-52685.9087718
0.06	5.56e-06	-52665.7760777
0.06	5.64e-06	-52623.6157031
0.06	5.72e-06	-52598.4825779
0.06	5.8e-06	-52506.6421698
0.06	5.88e-06	-52486.9945532
0.06	5.96e-06	-52463.4045338
