0.0	3e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.08e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.16e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.24e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.32e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.4e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.48e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.56e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.64e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.72e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.8e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.88e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	3.96e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.04e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.12e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.2e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.28e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.36e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.44e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.52e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.6e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.68e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.76e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.84e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	4.92e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.08e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.16e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.24e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.32e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.4e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.48e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.56e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.64e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.72e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.8e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.88e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	5.96e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.04e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.12e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.2e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.28e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.36e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.44e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.52e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.6e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.68e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.76e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.84e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.0	6.92e-05	-67540.1753782	441.727837444	441.727837444	585.655490496
0.06	3e-05	-65844.0492191	353.001424864	353.001424864	498.687735771
0.06	3.08e-05	-65795.599065	350.747697792	350.747697792	496.352471706
0.06	3.16e-05	-65747.5809984	348.528267087	348.528267087	494.009605905
0.06	3.24e-05	-65698.9478498	346.294721364	346.294721364	491.677568994
0.06	3.32e-05	-65650.7012987	344.093074383	344.093074383	489.352398381
0.06	3.4e-05	-65601.8512749	341.878149792	341.878149792	487.013585812
0.06	3.48e-05	-65552.8470677	339.670559247	339.670559247	484.686649443
0.06	3.56e-05	-65503.3273577	337.454226161	337.454226161	482.33943431
0.06	3.64e-05	-65453.6742574	335.246442837	335.246442837	480.000753072
0.06	3.72e-05	-65403.9007212	333.047801309	333.047801309	477.656921916
0.06	3.8e-05	-65353.8251373	330.850368096	330.850368096	475.298790181
0.06	3.88e-05	-65303.9753139	328.677242579	328.677242579	472.970927295
0.06	3.96e-05	-65253.8330162	326.505766523	326.505766523	470.605291524
0.06	4.04e-05	-65203.1542692	324.325635874	324.325635874	468.262819167
0.06	4.12e-05	-65152.3519342	322.154798925	322.154798925	465.896624754
0.06	4.2e-05	-65101.5242858	319.99742141	319.99742141	463.542005379
0.06	4.28e-05	-65050.2754865	317.836795278	317.836795278	461.164067117
0.06	4.36e-05	-64999.5604414	315.713033775	315.713033775	458.807985162
0.06	4.44e-05	-64947.7711745	313.558931948	313.558931948	456.430212115
0.06	4.52e-05	-64895.698839	311.407874198	311.407874198	454.010105122
0.06	4.6e-05	-64843.2062822	309.254392903	309.254392903	450.85225657
0.06	4.68e-05	-64790.9614086	307.125859595	307.125859595	448.488063008
0.06	4.76e-05	-64738.5819715	305.006550786	305.006550786	446.138217648
0.06	4.84e-05	-64685.7193532	302.882518987	302.882518987	443.766213026
0.06	4.92e-05	-64633.2780596	300.790031536	300.790031536	441.424753384
